City,Average Rainfall Annually,Winter Rainfall,Spring Rainfall,Summer Rainfall,Fall Rainfall,Latitude,Longitude,Cluster
Addison,37.57,2.06,3.07,2.21,4.79,-96.833336,32.950001,3
Alba,43.74,2.75,3.03,2.72,4.85,-95.633331,32.783333,2
Aledo,37.67,2.08,3.14,2.3,3.99,-97.599998,32.683334,3
Allen,40.04,2.54,3.42,2.2,4.67,-96.650002,33.083332,3
Alvarado,38.81,2.5,2.78,2.12,3.85,-97.199997,32.400002,3
Alvin,52.69,4.22,3.52,4.71,5.46,-95.26667,29.383333,5
Anahuac,57.11,4.47,3.59,5.45,5.06,-94.666664,29.766666,4
Angleton,50.86,4.45,2.53,4.56,5.3,-95.416664,29.15,5
Aransas Pass,34.59,2.13,1.61,3.26,4.33,-97.133331,27.9,1
Arlington,38.3,2.05,3.16,2.35,4.59,-97.116669,32.700001,3
Arthur City,47.07,2.7,3.41,3.68,5.1,-95.5,33.866669,3
Athens,41.22,2.52,2.82,4.18,4.64,-95.833336,32.200001,5
Atlanta,49.17,3.75,3.79,3.29,4.92,-94.150002,33.099998,4
Austin,32.15,2.23,2.28,2.45,3.95,-97.75,30.25,5
Avalon,38.74,2.72,2.92,1.9,4.3,-96.783333,32.200001,1
Avery,52.61,3.4,4.02,4.14,5.41,-94.76667,33.549999,3
Avinger,48.96,3.96,3.5,2.88,5.01,-94.550003,32.883331,5
Azle,37.67,2.08,3.14,2.3,3.99,-97.533333,32.883331,2
Bandera,37.37,2,2.37,3.96,4.36,-99.066666,29.733334,5
Bartlett,34.16,2.23,2.06,1.7,3.58,-97.416664,30.783333,1
Bastrop,36.53,2.41,2.38,2.4,4.68,-97.316666,30.1,3
Batson,57.31,4.53,4.03,4.2,5.94,-94.599998,30.233334,5
Bay City,46.38,3.43,2.42,4.65,4.76,-95.949997,28.966667,5
Bayside,34.59,2.13,1.61,3.26,4.33,-97.199997,28.083332,3
Baytown,54.58,4.06,3.02,5.2,6.38,-94.966667,29.733334,3
Beaumont,60.47,5.26,3.21,5.95,5.58,-94.116669,30.066668,1
Bedford,36.14,2.13,3.07,2.16,4.22,-97.133331,32.833332,3
Beeville,32.96,1.6,2.88,4.1,2.81,-97.75,28.4,4
Bellaire,52.88,3.68,3.62,4.56,4.87,-95.449997,29.700001,5
Bellville,40.87,2.55,3.26,3.46,4.78,-96.25,29.933332,1
Belmont,35.51,2.38,2.42,2.28,3.61,-97.683334,29.516666,4
Belton,33.08,1.97,2.1,1.82,3.48,-97.449997,31.049999,4
Berclair,32.96,1.6,2.88,4.1,2.81,-97.583336,28.516666,1
Bertram,32.41,1.84,2.15,2.04,3.4,-98.050003,30.733334,1
Bleiblerville,40.87,2.55,3.26,3.46,4.78,-96.433334,30,5
Bloomington,40.09,2.52,2.57,3.88,4.38,-96.883331,28.633333,2
Boerne,36.59,2,2.31,2.88,4.39,-98.716667,29.783333,1
Bon Wier,57.45,4.95,4.27,4.26,4.99,-93.633331,30.733334,1
Bonham,46.76,2.93,3.54,3.16,5.39,-96.166664,33.583332,1
Bowie,36.83,1.52,3.05,2.2,4.18,-97.833336,33.549999,1
Boyd,39.3,2,3.64,2.42,4.53,-97.550003,33.066666,2
Brazoria,50.86,4.45,2.53,4.56,5.3,-95.566666,29.033333,3
Bremond,39.5,2.92,2.58,1.84,4.71,-96.666664,31.15,3
Brenham,40.55,2.59,3.4,2.51,4.46,-96.383331,30.15,4
Bridge City,60.47,5.26,3.21,5.95,5.58,-93.833336,30.016666,5
Bridgeport,39.79,1.74,3.22,2.55,4.49,-97.75,33.200001,3
Brookshire,45.53,3.21,3.39,3.31,4.82,-95.949997,29.783333,3
Bryan,40.06,3.24,2.66,2.14,4.91,-96.366669,30.65,5
Buda,32.15,2.23,2.28,2.45,3.95,-97.833336,30.083332,3
Buffalo,43.06,3.1,3.41,2.14,4.81,-96.050003,31.450001,3
Burleson,36.96,2.07,2.79,2.42,4.3,-97.316666,32.533333,4
Burnet,32.41,1.84,2.15,2.04,3.4,-98.216667,30.75,3
Caldwell,38.67,2.98,2.73,1.89,4.47,-96.699997,30.516666,2
Camden,56.69,4.72,3.65,3.85,4.95,-94.73333,30.916668,3
Cameron,35.07,2.45,2.16,2.25,3.86,-96.966667,30.85,1
Campbell,44.46,2.38,3.37,3,5.54,-95.949997,33.133331,2
Carrollton,37.57,2.06,3.07,2.21,4.79,-96.883331,32.966667,3
Carthage,49.53,3.67,3.54,3.11,4.67,-94.333336,32.150002,1
Cat Spring,40.55,2.59,3.4,2.51,4.46,-96.316666,29.833332,3
Cedar Hill,41.75,3.27,2.87,2.75,3.89,-96.933334,32.583332,2
Cedar Park,36.21,2.25,2.22,3.59,3.93,-97.816666,30.5,3
Center,52,4.09,4.31,3.63,5.26,-94.166664,31.783333,5
Channelview,50.63,4.02,3.28,4.55,5.39,-95.116669,29.783333,3
China,61.06,4.87,3.86,5.32,5.79,-94.316666,30.049999,2
Chriesman,35.36,2.5,2.25,2.06,3.87,-96.76667,30.583332,1
Cibolo,34.86,1.93,1.99,2.71,4.45,-98.23333,29.566668,5
Clarksville,52.61,3.4,4.02,4.14,5.41,-95.050003,33.599998,5
Cleburne,38.81,2.5,2.78,2.12,3.85,-97.383331,32.349998,4
Cleveland,54.24,4.11,3.31,3.42,6.17,-95.083336,30.333332,1
Cleveland,54.24,4.11,3.31,3.42,6.17,-95.083336,30.333332,1
Clifton,36.04,2.02,2.9,2.18,3.62,-97.566666,31.766666,5
Clute,50.86,4.45,2.53,4.56,5.3,-95.383331,29.016666,3
College Station,41.01,2.77,3.21,2.66,4.56,-96.300003,30.6,4
